provincia,canton,codigo_canton,total_homicidios,latitud,longitud,femicidios,asesinatos,sicariatos,homicidios_2023,homicidios_2024,homicidios_2025,homicidios_2026,poblacion_miles,homicide_rate_2024,homicide_rate_2025,homicide_rate_2026_proj
Loja,Espíndola,1106,6,-4.648,-79.419,0,5,0,0,0,1,1,50,0.0,2.0,4.0
Loja,Gonzanamá,1107,8,-3.115,-79.425,1,3,0,1,0,0,1,50,0.0,0.0,4.0
Loja,Loja,1101,141,-3.998,-79.205,15,91,1,21,14,35,10,245,5.7,14.3,8.2
Loja,Macará,1108,18,-4.38,-79.941,1,16,0,3,2,0,1,50,4.0,0.0,4.0
Loja,Olmedo,1116,4,-3.939,-79.425,0,2,0,4,10,6,1,50,20.0,12.0,4.0
Loja,Paltas,1109,4,-4.047,-79.559,0,3,0,0,0,0,0,50,0.0,0.0,0.0
Loja,Pindal,1114,2,-4.067,-79.778,0,2,0,1,0,0,0,50,0.0,0.0,0.0
Loja,Puyango,1110,6,-4.241,-80.084,0,3,0,0,3,0,0,50,6.0,0.0,0.0
Loja,Quilanga,1115,2,-4.047,-79.559,0,1,0,0,0,0,0,50,0.0,0.0,0.0
Loja,Saraguro,1111,10,-3.529,-79.243,2,5,0,1,0,0,2,50,0.0,0.0,8.0
Loja,Sozoranga,1112,1,-4.33,-79.805,1,0,0,0,0,0,0,50,0.0,0.0,0.0
Loja,Zapotillo,1113,8,-4.35,-80.253,0,5,0,2,3,0,0,50,6.0,0.0,0.0
Los Ríos,Baba,1202,167,-1.841,-79.534,3,154,0,34,23,44,19,50,46.0,88.0,76.0
Los Ríos,Babahoyo,1201,1026,-1.803,-79.534,14,959,4,172,246,297,87,162,151.9,183.3,107.4
Los Ríos,Buena Fe,1210,518,-0.912,-79.484,3,487,0,92,95,173,57,72,131.9,240.3,158.3
Los Ríos,Mocache,1212,165,-1.246,-79.637,2,154,0,42,21,48,13,50,42.0,96.0,52.0
Los Ríos,Montalvo,1203,94,-1.676,-79.534,0,90,0,9,11,36,23,50,22.0,72.0,92.0
Los Ríos,Palenque,1209,104,-1.267,-79.428,3,98,0,17,17,33,8,50,34.0,66.0,32.0
Los Ríos,Puebloviejo,1204,529,-1.889,-79.534,2,521,2,121,95,165,44,50,190.0,330.0,176.0
Los Ríos,Quevedo,1205,1079,-1.033,-79.449,9,1007,7,279,106,164,87,185,57.3,88.6,94.1
Los Ríos,Quinsaloma,1213,140,-1.345,-79.5,2,131,1,17,24,55,18,50,48.0,110.0,72.0
Los Ríos,Urdaneta,1206,216,-1.5,-79.5,2,199,4,41,15,81,36,50,30.0,162.0,144.0
Los Ríos,Valencia,1211,187,-0.84,-79.436,1,172,0,46,59,32,11,50,118.0,64.0,44.0
Los Ríos,Ventanas,1207,344,-1.446,-79.471,3,318,4,91,40,65,42,72,55.6,90.3,116.7
Los Ríos,Vinces,1208,332,-1.556,-79.752,10,305,5,49,65,83,44,76,85.5,109.2,115.8
Manabí,24 De Mayo,1316,45,-1.221,-80.353,2,42,0,7,1,10,10,50,2.0,20.0,40.0
Manabí,Bolívar,1302,80,0.503,-77.923,2,75,1,11,3,8,5,50,6.0,16.0,20.0
Manabí,Chone,1303,298,-0.698,-80.094,6,284,3,24,33,45,31,128,25.8,35.2,48.4
Manabí,El Carmen,1304,286,-0.28,-79.463,9,260,0,41,35,37,23,89,39.3,41.6,51.7
Manabí,Flavio Alfaro,1305,33,-0.302,-79.917,2,28,1,3,1,2,0,50,2.0,4.0,0.0
Manabí,Jama,1320,30,-0.151,-80.421,0,28,0,4,4,4,8,50,8.0,8.0,32.0
Manabí,Jaramijó,1321,91,-0.949,-80.646,2,86,3,15,15,30,10,50,30.0,60.0,40.0
Manabí,Jipijapa,1306,105,-1.344,-80.585,3,97,1,13,17,37,18,50,34.0,74.0,72.0
Manabí,Junín,1307,24,-1.046,-80.353,0,23,0,4,3,5,1,50,6.0,10.0,4.0
Manabí,Manta,1308,1380,-0.949,-80.746,14,1332,9,262,266,399,169,270,98.5,147.8,125.2
Manabí,Montecristi,1309,344,-1.046,-80.653,6,327,1,49,54,95,74,50,108.0,190.0,296.0
Manabí,Olmedo,1318,34,-3.939,-79.425,2,32,0,4,10,6,1,50,20.0,12.0,4.0
Manabí,Paján,1310,65,-1.4,-80.35,1,61,0,18,7,18,4,50,14.0,36.0,16.0
Manabí,Pedernales,1317,372,0.076,-80.053,3,352,1,116,28,48,23,55,50.9,87.3,83.6
Manabí,Pichincha,1311,65,-0.836,-80.192,2,63,0,2,17,15,2,50,34.0,30.0,8.0
Manabí,Portoviejo,1301,1183,-1.054,-80.454,8,1130,23,260,257,340,100,320,80.3,106.2,62.5
Manabí,Puerto López,1319,80,-1.557,-80.808,3,72,1,27,13,13,7,50,26.0,26.0,28.0
Manabí,Rocafuerte,1312,54,-0.895,-80.447,3,49,1,12,9,19,7,50,18.0,38.0,28.0
Manabí,San Vicente,1322,97,-0.701,-80.421,2,93,0,24,12,15,22,50,24.0,30.0,88.0
Manabí,Santa Ana,1313,113,-1.046,-80.353,0,107,2,14,17,28,19,50,34.0,56.0,76.0
Manabí,Sucre,1314,249,-0.775,-80.246,3,243,2,45,44,77,37,50,88.0,154.0,148.0
Manabí,Tosagua,1315,112,-0.775,-80.246,2,107,0,31,26,23,12,50,52.0,46.0,48.0
Morona Santiago,Gualaquiza,1402,15,-3.041,-78.572,2,8,0,2,5,3,0,50,10.0,6.0,0.0
Morona Santiago,Huamboya,1407,5,-1.4,-77.873,0,4,0,1,0,2,1,50,0.0,4.0,4.0
Morona Santiago,Limón Indanza,1403,11,-2.23,-78.3,0,8,0,2,1,1,2,50,2.0,2.0,8.0
Morona Santiago,Logroño,1410,2,-2.256,-78.168,1,1,0,0,0,0,0,50,0.0,0.0,0.0
Morona Santiago,Morona,1401,52,-2.034,-78.081,3,39,1,13,1,6,4,50,2.0,12.0,16.0
Morona Santiago,Pablo Sexto,1411,2,-2.256,-78.168,0,2,0,1,0,0,0,50,0.0,0.0,0.0
Morona Santiago,Palora,1404,18,-1.586,-77.873,0,16,0,4,0,3,3,50,0.0,6.0,12.0
Morona Santiago,San Juan Bosco,1408,3,-2.3,-78.3,1,2,0,1,0,1,0,50,0.0,2.0,0.0
Morona Santiago,Santiago,1405,4,-1.03,-78.547,0,2,0,1,0,0,0,50,0.0,0.0,0.0
Morona Santiago,Sucúa,1406,23,-2.256,-78.168,2,16,0,6,4,1,1,50,8.0,2.0,4.0
Morona Santiago,Taisha,1409,15,-1.931,-77.873,3,10,0,3,3,3,0,50,6.0,6.0,0.0
Morona Santiago,Tiwintza,1412,4,-2.256,-78.168,1,2,0,0,3,0,0,50,6.0,0.0,0.0
Napo,Archidona,1503,18,-0.829,-77.815,2,10,0,2,3,0,3,50,6.0,0.0,12.0
Napo,Carlos Julio Arosemena Tola,1509,9,-1.017,-77.733,0,8,0,0,2,0,3,50,4.0,0.0,12.0
Napo,El Chaco,1504,3,-0.312,-77.966,0,3,0,0,1,0,1,50,2.0,0.0,4.0
Napo,Quijos,1507,8,-0.312,-77.966,1,6,0,0,0,2,0,50,0.0,4.0,0.0
Napo,Tena,1501,78,-0.996,-77.816,6,58,0,13,7,17,6,62,11.3,27.4,19.4
Orellana,Aguarico,2202,1,-0.467,-76.987,0,1,0,0,0,0,0,50,0.0,0.0,0.0
Orellana,Francisco De Orellana,2201,289,-0.467,-76.987,18,247,0,23,62,99,36,80,77.5,123.8,90.0
Orellana,La Joya De Los Sachas,2203,156,-0.275,-76.637,5,138,1,28,45,29,14,50,90.0,58.0,56.0
Orellana,Loreto,2204,29,-0.603,-77.307,5,17,0,7,1,2,3,50,2.0,4.0,12.0
Pastaza,Arajuno,1604,5,-1.011,-77.963,0,4,0,0,0,0,0,50,0.0,0.0,0.0
Pastaza,Mera,1602,15,-1.421,-78.116,1,11,0,4,0,4,1,50,0.0,8.0,4.0
Pastaza,Pastaza,1601,89,-1.371,-77.968,4,71,0,26,2,15,9,50,4.0,30.0,36.0
Pastaza,Santa Clara,1603,4,-1.371,-77.968,0,3,0,0,0,1,0,50,0.0,2.0,0.0
Pichincha,Cayambe,1702,67,0.041,-78.16,11,32,1,8,12,10,5,85,14.1,11.8,11.8
Pichincha,Mejía,1703,59,-0.502,-78.567,7,32,0,4,7,9,3,81,8.6,11.1,7.4
Pichincha,Pedro Moncayo,1704,41,0.043,-78.264,6,27,0,4,3,3,7,50,6.0,6.0,28.0
Pichincha,Pedro Vicente Maldonado,1708,18,0.083,-79.052,0,18,0,2,1,4,0,13,7.7,30.8,0.0
Pichincha,Puerto Quito,1709,51,0.157,-79.075,1,43,0,1,6,17,3,50,12.0,34.0,12.0
Pichincha,Quito,1701,2174,-0.18,-78.467,113,577,6,294,249,271,119,2010,12.4,13.5,11.8
Pichincha,Rumiñahui,1705,55,-0.294,-78.443,8,24,3,12,6,7,3,50,12.0,14.0,12.0
Pichincha,San Miguel De Los Bancos,1707,16,0.0,-78.9,3,9,0,1,3,1,0,50,6.0,2.0,0.0
Santa Elena,La Libertad,2402,465,-2.223,-80.905,3,450,3,131,106,80,40,98,108.2,81.6,81.6
Santa Elena,Salinas,2403,245,-2.216,-80.968,3,232,3,56,36,49,32,70,51.4,70.0,91.4
Santa Elena,Santa Elena,2401,321,-2.226,-80.859,8,309,0,66,47,99,39,150,31.3,66.0,52.0
Sto Dgo De Los Tsáchilas,La Concordia,2302,140,-0.005,-79.392,1,112,1,42,13,16,17,51,25.5,31.4,66.7
Sto Dgo De Los Tsáchilas,Santo Domingo,2301,807,-0.253,-79.172,27,647,6,118,53,145,20,400,13.2,36.2,10.0
Sucumbíos,Cascales,2106,21,0.071,-77.125,3,13,0,8,0,1,0,50,0.0,2.0,0.0
Sucumbíos,Cuyabeno,2107,14,-0.167,-76.683,2,11,0,1,2,2,0,50,4.0,4.0,0.0
Sucumbíos,Gonzalo Pizarro,2102,11,0.35,-77.2,2,6,0,1,3,1,2,50,6.0,2.0,8.0
Sucumbíos,Lago Agrio,2101,497,0.086,-76.882,10,449,2,70,85,48,53,110,77.3,43.6,96.4
Sucumbíos,Putumayo,2103,35,0.131,-77.005,3,28,0,0,0,1,0,50,0.0,2.0,0.0
Sucumbíos,Shushufindi,2104,216,-0.167,-76.683,8,194,1,21,67,57,16,50,134.0,114.0,64.0
Sucumbíos,Sucumbíos,2105,4,0.2,-77.0,0,2,0,0,0,1,0,50,0.0,2.0,0.0
Tungurahua,Ambato,1801,247,-1.243,-78.62,25,184,2,20,46,40,22,380,12.1,10.5,11.6
