provincia,canton,codigo_canton,total_homicidios,latitud,longitud,femicidios,asesinatos,sicariatos,homicidios_2023,homicidios_2024,homicidios_2025,homicidios_2026,poblacion_miles,homicide_rate_2024,homicide_rate_2025,homicide_rate_2026_proj,local_moran_i,lisa_quadrant,gi_star_z,gi_p_value,hotspot_label
Manabí,Olmedo,1318,34,-1.2951929411764709,-75.49770147058824,2,32,0,4,10,6,1,50,20.0,12.0,4.0,0.1342,High outlier (HL),1.2265,0.22,not significant
Manabí,Paján,1310,65,-1.5875236545967597,-79.17163969003718,1,61,0,18,7,18,4,50,14.0,36.0,16.0,0.3251,Hotspot (HH),1.05,0.2937,not significant
Manabí,Pedernales,1317,372,0.0769125151562179,-77.8690964325835,3,352,1,116,28,48,23,55,50.9,87.3,83.6,-0.8184,High outlier (HL),-1.5747,0.1153,not significant
Manabí,Pichincha,1311,65,-0.8362048512329692,-72.44309030020281,2,63,0,2,17,15,2,50,34.0,30.0,8.0,0.0369,Hotspot (HH),0.1388,0.8896,not significant
Manabí,Portoviejo,1301,1183,-1.019155923875391,-78.1339998212026,8,1130,23,260,257,340,100,320,80.3,106.2,62.5,1.1558,Hotspot (HH),1.6855,0.0919,hotspot (90%)
Manabí,Puerto López,1319,80,-1.5502675548144065,-78.77848103782672,3,72,1,27,13,13,7,50,26.0,26.0,28.0,-0.3836,High outlier (HL),-1.6172,0.1058,not significant
Manabí,Rocafuerte,1312,54,-0.8904739074074074,-77.46112737037038,3,49,1,12,9,19,7,50,18.0,38.0,28.0,0.8242,Hotspot (HH),2.3878,0.0169,hotspot (95%)
Manabí,San Vicente,1322,97,-0.5257512630730715,-78.73957051789473,2,93,0,24,12,15,22,50,24.0,30.0,88.0,-0.3653,Hotspot (HH),-1.078,0.281,not significant
Manabí,Santa Ana,1313,113,-1.1751482820052943,-78.86053832876799,0,107,2,14,17,28,19,50,34.0,56.0,76.0,-0.4895,High outlier (HL),-1.1936,0.2326,not significant
Manabí,Sucre,1314,249,-0.6479007765447208,-79.44442551895678,3,243,2,45,44,77,37,50,88.0,154.0,148.0,0.9919,Hotspot (HH),0.8488,0.396,not significant
Manabí,Tosagua,1315,112,-0.7750993379464285,-79.53387939357142,2,107,0,31,26,23,12,50,52.0,46.0,48.0,1.0518,Hotspot (HH),1.5864,0.1126,not significant
Morona Santiago,Gualaquiza,1402,15,-2.9711359466666667,-68.08341754,2,8,0,2,5,3,0,50,10.0,6.0,0.0,0.1013,Coldspot (LL),-0.7474,0.4548,not significant
Morona Santiago,Huamboya,1407,5,-1.972226,-77.967446,0,4,0,1,0,2,1,50,0.0,4.0,4.0,0.2663,Low outlier (LH),-0.8393,0.4013,not significant
Morona Santiago,Limón Indanza,1403,11,-3.040939958421076,-78.32973973506147,0,8,0,2,1,1,2,50,2.0,2.0,8.0,-0.4638,Low outlier (LH),1.3295,0.1837,not significant
Morona Santiago,Logroño,1410,2,-2.88210412350009,-77.91955580045496,1,1,0,0,0,0,0,50,0.0,0.0,0.0,0.613,Low outlier (LH),-0.8071,0.4196,not significant
Morona Santiago,Morona,1401,52,-2.034168799752485,-69.08075152814988,3,39,1,13,1,6,4,50,2.0,12.0,16.0,-0.0559,High outlier (HL),-1.0243,0.3057,not significant
Morona Santiago,Pablo Sexto,1411,2,-1.90762282393778,-78.01638331250255,0,2,0,1,0,0,0,50,0.0,0.0,0.0,0.0601,Low outlier (LH),-0.0564,0.955,not significant
Morona Santiago,Palora,1404,18,-1.5858082154372,-73.67978788406737,0,16,0,4,0,3,3,50,0.0,6.0,12.0,0.0075,Low outlier (LH),-0.0679,0.9459,not significant
Morona Santiago,San Juan Bosco,1408,3,-3.1333985096621166,-78.53159503161113,1,2,0,1,0,1,0,50,0.0,2.0,0.0,-0.5507,Low outlier (LH),1.3297,0.1836,not significant
Morona Santiago,Santiago,1405,4,-2.72885988513723,-78.32141716861675,0,2,0,1,0,0,0,50,0.0,0.0,0.0,1.5799,Coldspot (LL),-2.7277,0.0064,coldspot (99%)
Morona Santiago,Sucúa,1406,23,-2.256184656852315,-71.37112441811816,2,16,0,6,4,1,1,50,8.0,2.0,4.0,0.3298,Coldspot (LL),-0.7236,0.4693,not significant
Morona Santiago,Taisha,1409,15,-1.931303399999999,-61.97778,3,10,0,3,3,3,0,50,6.0,6.0,0.0,0.2395,Coldspot (LL),-1.9739,0.0484,coldspot (95%)
Morona Santiago,Tiwintza,1412,4,-2.925115,-77.729625,1,2,0,0,3,0,0,50,6.0,0.0,0.0,0.5158,Low outlier (LH),-0.6195,0.5356,not significant
Napo,Archidona,1503,18,-0.8287103578319372,-73.4687100723316,2,10,0,2,3,0,3,50,6.0,0.0,12.0,-0.1402,Low outlier (LH),0.203,0.8391,not significant
Napo,Carlos Julio Arosemena Tola,1509,9,-1.0165219333333333,-69.19592714444444,0,8,0,0,2,0,3,50,4.0,0.0,12.0,0.1641,Coldspot (LL),-0.1943,0.8459,not significant
Napo,El Chaco,1504,3,-0.2686945991196039,-77.71867390408833,0,3,0,0,1,0,1,50,2.0,0.0,4.0,-0.246,Low outlier (LH),0.3882,0.6979,not significant
Napo,Quijos,1507,8,-0.409822877350172,-78.0573100901239,1,6,0,0,0,2,0,50,0.0,4.0,0.0,-0.1385,Low outlier (LH),0.7106,0.4773,not significant
Napo,Tena,1501,78,-0.9752740290845094,-75.74943446846402,6,58,0,13,7,17,6,62,11.3,27.4,19.4,-0.0209,Hotspot (HH),-0.052,0.9585,not significant
Orellana,Aguarico,2202,1,-0.91053944507335,-75.4257774353027,0,1,0,0,0,0,0,50,0.0,0.0,0.0,-0.6095,Low outlier (LH),0.9619,0.3361,not significant
Orellana,Francisco De Orellana,2201,289,-0.432837394216701,-74.62552941060474,18,247,0,23,62,99,36,80,77.5,123.8,90.0,0.6199,Hotspot (HH),0.8992,0.3686,not significant
Orellana,La Joya De Los Sachas,2203,156,-0.274675579909655,-73.41283405555477,5,138,1,28,45,29,14,50,90.0,58.0,56.0,-0.1562,High outlier (HL),-0.281,0.7787,not significant
Orellana,Loreto,2204,29,-0.60305626798802,-66.64930807113002,5,17,0,7,1,2,3,50,2.0,4.0,12.0,0.2346,Coldspot (LL),-1.2966,0.1948,not significant
Pastaza,Arajuno,1604,5,-1.010600719796198,-61.96339736465397,0,4,0,0,0,0,0,50,0.0,0.0,0.0,0.8426,Coldspot (LL),-1.2736,0.2028,not significant
Pastaza,Mera,1602,15,-1.420723393045224,-72.84772910549722,1,11,0,4,0,4,1,50,0.0,8.0,4.0,-0.0399,Low outlier (LH),0.8186,0.413,not significant
